title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Service history,country
MINI HATCH ONE,7995,60711,2015,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 6,Unknown,United Kingdom
RENAULT CLIO,6895,22752,2013,2.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,France
HONDA CR-Z,5200,107000,2011,7.0,Petrol Hybrid,Coupe,1.5,Manual,3.0,4.0,Euro 5,Unknown,Japan
MINI COUNTRYMAN,6999,57980,2013,4.0,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
HYUNDAI I10,5295,71000,2016,3.0,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 5,full,South Korea
RENAULT GRAND ESPACE,5250,112744,2007,2.8075571177504393,Diesel,MPV,2.0,Automatic,5.0,7.0,Euro 4,Unknown,France
FORD FIESTA,2490,59811,2007,2.0,Petrol,Hatchback,1.3,Manual,3.0,5.0,Euro 4,Unknown,United States
MERCEDES-BENZ C CLASS,6295,88000,2010,2.8075571177504393,Diesel,Saloon,3.0,Automatic,4.0,5.0,Euro 5,Unknown,Germany
PEUGEOT 108,4999,71075,2016,2.0,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 6,Unknown,France
MERCEDES-BENZ E CLASS,5995,99000,2014,4.0,Diesel,Saloon,2.1,Automatic,4.0,5.0,Euro 5,Unknown,Germany
JAGUAR XF,11490,66000,2014,2.8075571177504393,Diesel,Saloon,3.0,Automatic,4.0,5.0,Euro 5,Unknown,United Kingdom
RENAULT CLIO,1990,120863,2012,2.8075571177504393,Petrol,Hatchback,1.1,Manual,3.0,5.0,Euro 5,Unknown,France
VAUXHALL ASTRA,2995,61038,2007,2.8075571177504393,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
VAUXHALL ASTRA,2995,61038,2007,2.8075571177504393,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
SKODA FABIA,6495,70000,2017,1.0,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 6,Unknown,Czech Republic
FIAT 500,5900,45000,2016,2.0,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 6,full,Italy
BMW 2 SERIES,7500,57851,2014,1.0,Diesel,Coupe,2.0,Manual,2.0,4.0,Euro 6,Unknown,Germany
NISSAN QASHQAI+2,5995,84642,2010,2.0,Diesel,SUV,1.5,Manual,5.0,7.0,Euro 4,Unknown,Japan
JAGUAR S-TYPE,2995,98000,2005,2.8075571177504393,Diesel,Saloon,2.7,Automatic,4.0,5.0,Euro 4,Unknown,United Kingdom
VOLKSWAGEN TIGUAN,4295,115000,2009,3.0,Diesel,SUV,2.0,Automatic,5.0,5.0,Euro 4,full,Germany
FORD KA,2850,76191,2009,2.0,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 4,Unknown,United States
VAUXHALL MOKKA,6490,78000,2015,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,full,United Kingdom
ALFA ROMEO MITO,2995,82000,2013,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 5,Unknown,Italy
FORD MONDEO,2995,113000,2011,3.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,United States
FORD FOCUS,1499,113187,2008,2.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United States
VAUXHALL ASTRA,2995,61038,2007,2.8075571177504393,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
VAUXHALL ASTRA,2995,61038,2007,2.8075571177504393,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
VAUXHALL ASTRA GTC,5099,67100,2013,3.0,Petrol,Coupe,1.4,Automatic,3.0,5.0,Euro 5,full,United Kingdom
MERCEDES-BENZ C CLASS,2495,89500,2005,2.8075571177504393,Petrol,Coupe,1.8,Automatic,2.0,4.0,Euro 3,Unknown,Germany
BMW 1 SERIES,10895,74000,2015,2.8075571177504393,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 6,Unknown,Germany
VOLKSWAGEN PASSAT,7750,91350,2014,2.0,Diesel,Estate,2.0,Manual,5.0,5.0,Euro 5,Unknown,Germany
BMW 4 SERIES,15000,109000,2015,2.8075571177504393,Diesel,Hatchback,3.0,Automatic,5.0,5.0,Euro 6,Unknown,Germany
CITROEN C3,3450,61843,2010,2.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,full,France
MERCEDES-BENZ A CLASS,13995,106000,2019,2.0,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 6,Unknown,Germany
MERCEDES-BENZ E CLASS,8950,82856,2014,5.0,Diesel,Saloon,2.1,Automatic,4.0,5.0,Euro 5,Unknown,Germany
DACIA LOGAN MCV,5500,62000,2015,4.0,Diesel,Estate,1.5,Manual,5.0,5.0,Euro 5,Unknown,Romania
VAUXHALL ASTRA,2500,136842,2014,1.0,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
VAUXHALL ASTRA,2995,61038,2007,2.8075571177504393,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
FIAT 500C,3995,87986,2010,2.8075571177504393,Petrol,Convertible,1.2,Manual,2.0,4.0,Euro 5,Unknown,Italy
AUDI A4 AVANT,5995,105000,2010,3.0,Diesel,Estate,3.0,Automatic,5.0,5.0,Euro 5,Unknown,Germany
PEUGEOT 107,3285,46477,2011,2.8075571177504393,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 5,Unknown,France
FIAT 500,4995,54496,2011,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 5,full,Italy
FIAT PANDA,1895,108000,2011,2.0,Petrol,Hatchback,1.2,Manual,5.0,4.0,Euro 5,Unknown,Italy
KIA SPORTAGE,2995,93125,2009,2.8075571177504393,Diesel,SUV,2.0,Manual,5.0,5.0,Euro 4,full,South Korea
NISSAN X-TRAIL,2490,141000,2006,2.8075571177504393,Diesel,SUV,2.2,Manual,5.0,5.0,Euro 4,Unknown,Japan
VOLKSWAGEN GOLF,5495,95000,2013,5.0,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 5,Unknown,Germany
CITROEN DS3,2495,106000,2010,5.0,Diesel,Hatchback,1.6,Manual,3.0,5.0,Euro 5,Unknown,France
HONDA JAZZ,1695,80147,2002,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 3,Unknown,Japan
PEUGEOT 107,2150,100000,2010,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,4.0,Euro 4,Unknown,France
VAUXHALL VECTRA,2250,52200,2007,2.8075571177504393,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4,Unknown,United Kingdom
FIAT 500C,3995,87986,2010,2.8075571177504393,Petrol,Convertible,1.2,Manual,2.0,4.0,Euro 5,Unknown,Italy
VAUXHALL CORSA,2995,79011,2007,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
HYUNDAI I30,4195,112207,2014,1.0,Diesel,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,South Korea
FORD FIESTA,6595,50181,2013,2.0,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 5,Unknown,United States
AUDI A3,5450,81000,2011,6.0,Petrol,Hatchback,1.8,Manual,3.0,5.0,Euro 5,Unknown,Germany
JAGUAR XF,8900,94000,2015,5.0,Diesel,Saloon,2.2,Automatic,4.0,5.0,Euro 5,Unknown,United Kingdom
FIAT PANDA,1495,102000,2009,2.8075571177504393,Petrol,Hatchback,1.1,Manual,5.0,4.0,Euro 4,Unknown,Italy
TOYOTA YARIS,3990,47801,2009,2.8075571177504393,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 4,Unknown,Japan
VAUXHALL INSIGNIA GRAND SPORT,7447,125000,2019,1.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
BMW 1 SERIES,8145,40000,2013,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,full,Germany
TOYOTA YARIS,3995,99000,2013,2.0,Diesel,Hatchback,1.4,Manual,5.0,5.0,Euro 5,full,Japan
FORD FOCUS,1499,113187,2008,2.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United States
FORD FOCUS,10970,91000,2019,1.0,Petrol,Hatchback,1.5,Manual,5.0,5.0,Euro 6,full,United States
TOYOTA IQ,3495,85489,2009,2.8075571177504393,Petrol,Hatchback,1.3,Manual,3.0,4.0,Euro 4,Unknown,Japan
VAUXHALL CORSA,2695,53000,2009,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4,Unknown,United Kingdom
KIA PICANTO,4970,65400,2015,2.8075571177504393,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 6,Unknown,South Korea
VAUXHALL INSIGNIA,8000,71518,2016,4.0,Petrol,Hatchback,2.0,Manual,5.0,5.0,Euro 6,full,United Kingdom
MERCEDES-BENZ A CLASS,11990,51098,2017,2.8075571177504393,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 6,full,Germany
HONDA CIVIC,7699,93065,2005,2.8075571177504393,Petrol,Hatchback,2.0,Manual,3.0,4.0,Euro 3,Unknown,Japan
MERCEDES-BENZ B-CLASS,8000,90000,2012,2.8075571177504393,Diesel,MPV,1.8,Automatic,5.0,5.0,Euro 5,Unknown,Germany
KIA OPTIMA,5500,60270,2012,5.0,Diesel,Saloon,1.7,Automatic,4.0,5.0,Euro 5,Unknown,South Korea
AUDI A3,6499,55500,2012,4.0,Diesel,Hatchback,2.0,Manual,3.0,5.0,Euro 5,Unknown,Germany
VOLVO V40,4250,118000,2013,4.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,Sweden
FORD FIESTA,10640,43456,2018,2.8075571177504393,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 6,Unknown,United States
PEUGEOT 407,995,144100,2007,4.0,Diesel,Saloon,2.0,Manual,4.0,5.0,Euro 4,Unknown,France
TOYOTA IQ,3495,85489,2009,2.8075571177504393,Petrol,Hatchback,1.3,Manual,3.0,4.0,Euro 4,Unknown,Japan
VAUXHALL CORSA,2995,79011,2007,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
FORD KUGA,3995,124000,2010,7.0,Diesel,SUV,2.0,Manual,5.0,5.0,Euro 5,Unknown,United States
PEUGEOT 208,7444,32046,2016,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,France
BMW X1,7995,75405,2011,2.8075571177504393,Diesel,SUV,2.0,Automatic,5.0,5.0,Euro 5,Unknown,Germany
TOYOTA AYGO,3895,53700,2013,2.0,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 5,Unknown,Japan
CITROEN C3,7999,56425,2017,2.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,France
LAND ROVER RANGE ROVER SPORT,12490,54000,2010,2.8075571177504393,Diesel,SUV,3.0,Automatic,5.0,5.0,Euro 4,Unknown,United Kingdom
VAUXHALL ASTRA,4495,92300,2013,2.8075571177504393,Diesel,Estate,2.0,Automatic,5.0,5.0,Euro 5,Unknown,United Kingdom
KIA SORENTO,1795,125000,2005,4.0,Diesel,SUV,2.5,Manual,5.0,5.0,Euro 2,Unknown,South Korea
PEUGEOT 308,2495,107000,2012,2.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,France
PEUGEOT 207 CC,2000,68000,2009,2.8075571177504393,Petrol,Convertible,1.6,Manual,2.0,4.0,Euro 5,full,France
PEUGEOT 407,995,144100,2007,4.0,Diesel,Saloon,2.0,Manual,4.0,5.0,Euro 4,Unknown,France
VAUXHALL CORSA,2995,79011,2007,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
AUDI A4,7990,80000,2012,2.8075571177504393,Petrol,Saloon,1.8,Manual,4.0,5.0,Euro 5,Unknown,Germany
CHEVROLET CAPTIVA,5999,71512,2012,2.0,Diesel,SUV,2.2,Automatic,5.0,7.0,Euro 5,full,United States
TOYOTA AYGO,3950,17000,2014,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,4.0,Euro 5,Unknown,Japan
FORD FIESTA,7780,51700,2016,2.0,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6,Unknown,United States
RENAULT CLIO,2499,104858,2010,2.8075571177504393,Diesel,Estate,1.5,Manual,5.0,5.0,Euro 4,Unknown,France
TOYOTA AYGO,3290,73001,2012,3.0,Petrol,Hatchback,1.0,Manual,3.0,4.0,Euro 5,Unknown,Japan
BMW 3 SERIES,3450,131000,2005,7.0,Diesel,Estate,2.0,Automatic,5.0,5.0,Euro 4,Unknown,Germany
VOLKSWAGEN POLO,6495,95555,2015,2.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 6,Unknown,Germany
JAGUAR XF,8995,125000,2015,3.0,Diesel,Estate,2.2,Automatic,5.0,5.0,Euro 5,Unknown,United Kingdom
NISSAN QASHQAI,5995,94900,2015,4.0,Diesel,SUV,1.5,Manual,5.0,5.0,Euro 6,Unknown,Japan
VOLKSWAGEN POLO,1895,87100,2005,5.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,Germany
VAUXHALL CORSA,2995,47988,2009,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
TOYOTA YARIS,2995,81224,2006,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 4,Unknown,Japan
BMW 3 SERIES,12800,57000,2016,2.0,Diesel,Saloon,2.0,Manual,4.0,5.0,Euro 6,Unknown,Germany
AUDI A3,6250,81000,2011,4.0,Diesel,Hatchback,2.0,Manual,3.0,5.0,Euro 5,full,Germany
PEUGEOT 308,1995,98885,2010,2.8075571177504393,Petrol,Convertible,1.6,Manual,2.0,4.0,Euro 5,Unknown,France
VAUXHALL ZAFIRA,1800,120000,2010,5.0,Diesel,MPV,1.9,Automatic,5.0,7.0,Euro 4,Unknown,United Kingdom
SUZUKI GRAND VITARA,6495,24629,2011,3.0,Petrol,SUV,1.6,Manual,3.0,5.0,Euro 5,Unknown,Japan
MERCEDES-BENZ CLK,2699,77000,2004,2.0,Petrol,Coupe,1.8,Automatic,2.0,4.0,Euro 3,Unknown,Germany
KIA RIO,4200,55635,2012,4.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,South Korea
MERCEDES-BENZ B CLASS,9870,25224,2014,1.0,Diesel,MPV,1.5,Manual,5.0,5.0,Euro 5,Unknown,Germany
VAUXHALL ASTRA,4993,116000,2017,3.0,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
HYUNDAI I30,1998,110000,2008,2.8075571177504393,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 4,Unknown,South Korea
SUBARU IMPREZA,2395,130100,2001,5.0,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 2,Unknown,Japan
TOYOTA YARIS,2995,81224,2006,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 4,Unknown,Japan
VAUXHALL CORSA,2995,47988,2009,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
HYUNDAI I10,3990,50562,2012,2.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,South Korea
VAUXHALL CORSA,6700,34685,2017,2.0,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 6,Unknown,United Kingdom
MAZDA CX-3,8495,55400,2015,3.0,Diesel,SUV,1.5,Manual,5.0,5.0,Euro 6,Unknown,Japan
SEAT IBIZA,1795,49377,2007,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,Spain
BMW X1,8495,70876,2014,2.8075571177504393,Diesel,SUV,2.0,Manual,5.0,5.0,Euro 5,Unknown,Germany
FORD MONDEO,5675,80000,2013,3.0,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 5,Unknown,United States
FORD FOCUS,11225,57727,2017,2.0,Petrol,Hatchback,1.0,Automatic,5.0,5.0,Euro 6,Unknown,United States
HYUNDAI I10,2495,68100,2011,5.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,South Korea
FORD FOCUS,4785,66436,2011,1.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5,full,United States
TOYOTA VERSO,8995,71504,2015,2.8075571177504393,Diesel,MPV,1.6,Manual,5.0,7.0,Euro 6,Unknown,Japan
VOLVO V70,795,274100,2004,6.0,Petrol,Estate,2.4,Automatic,5.0,5.0,Euro 3,Unknown,Sweden
VAUXHALL ADAM,4990,67000,2014,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 5,Unknown,United Kingdom
FIAT 500C,3995,87986,2010,2.8075571177504393,Petrol,Convertible,1.2,Manual,2.0,4.0,Euro 5,Unknown,Italy
RENAULT CAPTUR,5498,50600,2014,2.0,Petrol,SUV,0.9,Manual,5.0,5.0,Euro 5,Unknown,France
FIAT 500C,5750,67601,2010,2.8075571177504393,Petrol,Convertible,1.4,Automatic,2.0,4.0,Euro 5,Unknown,Italy
FORD MONDEO,2445,123000,2008,5.0,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 4,Unknown,United States
VOLKSWAGEN GOLF,2550,69354,2004,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,Germany
AUDI Q7,7499,144000,2011,3.0,Diesel,SUV,3.0,Automatic,5.0,7.0,Euro 5,full,Germany
CITROEN C3,7970,76000,2019,1.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,full,France
MINI CLUBMAN,6700,64000,2012,2.8075571177504393,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
BMW X1,4895,105000,2011,2.0,Diesel,SUV,2.0,Manual,5.0,5.0,Euro 5,full,Germany
BMW 3 SERIES,6390,92080,2013,2.0,Diesel,Convertible,2.0,Manual,2.0,4.0,Euro 5,full,Germany
VAUXHALL ASTRA,1495,108257,2007,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United Kingdom
VOLVO V70,795,274100,2004,6.0,Petrol,Estate,2.4,Automatic,5.0,5.0,Euro 3,Unknown,Sweden
TOYOTA YARIS,2995,81224,2006,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 4,Unknown,Japan
FORD FOCUS,10970,91000,2019,1.0,Petrol,Hatchback,1.5,Manual,5.0,5.0,Euro 6,full,United States
VOLKSWAGEN TIGUAN,14250,71396,2018,1.0,Diesel,SUV,2.0,Manual,5.0,5.0,Euro 6,Unknown,Germany
BMW X1,6850,90000,2013,7.0,Diesel,SUV,2.0,Manual,5.0,5.0,Euro 5,Unknown,Germany
MERCEDES-BENZ A CLASS,9250,79500,2015,2.0,Diesel,Hatchback,1.5,Automatic,5.0,5.0,Euro 6,Unknown,Germany
VAUXHALL CORSA,3495,25857,2007,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4,Unknown,United Kingdom
VAUXHALL ANTARA,3240,86101,2013,3.0,Diesel,SUV,2.2,Automatic,5.0,5.0,Euro 5,full,United Kingdom
BMW 3 SERIES,9995,54000,2013,2.8075571177504393,Diesel,Saloon,2.0,Automatic,4.0,5.0,Euro 5,full,Germany
JAGUAR XF,7749,68085,2013,2.0,Diesel,Saloon,2.2,Automatic,4.0,5.0,Euro 5,Unknown,United Kingdom
HONDA CIVIC,9395,109000,2018,2.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,Japan
FORD FIESTA,2695,146000,2008,4.0,Petrol,Hatchback,2.0,Manual,3.0,5.0,Euro 4,Unknown,United States
VAUXHALL ASTRA,2500,136842,2014,1.0,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
FORD FOCUS,10970,91000,2019,1.0,Petrol,Hatchback,1.5,Manual,5.0,5.0,Euro 6,full,United States
TOYOTA YARIS,2995,81224,2006,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 4,Unknown,Japan
FIAT 500,6990,32000,2015,2.8075571177504393,Petrol,Hatchback,0.9,Manual,3.0,4.0,Euro 6,Unknown,Italy
PEUGEOT 107,1995,97100,2010,5.0,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 4,Unknown,France
MERCEDES-BENZ C CLASS,1195,167794,2007,2.8075571177504393,Diesel,Coupe,2.1,Automatic,2.0,4.0,Euro 4,Unknown,Germany
FORD FIESTA,2495,47530,2008,2.8075571177504393,Petrol,Hatchback,1.3,Manual,3.0,5.0,Euro 4,Unknown,United States
MERCEDES-BENZ C CLASS,5970,102943,2014,3.0,Diesel,Saloon,2.1,Automatic,4.0,5.0,Euro 5,Unknown,Germany
HYUNDAI I40,6860,60000,2015,2.8075571177504393,Diesel,Estate,1.7,Manual,5.0,5.0,Euro 5,Unknown,South Korea
BMW 3 SERIES,4695,82600,2010,3.0,Diesel,Saloon,2.0,Manual,4.0,5.0,Euro 5,Unknown,Germany
VAUXHALL MERIVA,5777,45000,2015,2.8075571177504393,Petrol,MPV,1.4,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
VAUXHALL ZAFIRA,3995,79980,2010,2.0,Diesel,MPV,1.9,Automatic,5.0,7.0,Euro 4,Unknown,United Kingdom
VAUXHALL ANTARA,7495,29000,2014,2.8075571177504393,Diesel,SUV,2.2,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
VOLKSWAGEN POLO,1895,87100,2005,5.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,Germany
TOYOTA YARIS,2995,81224,2006,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 4,Unknown,Japan
VAUXHALL ASTRA,3195,28408,2005,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United Kingdom
KIA SPORTAGE,6500,98198,2016,2.0,Diesel,SUV,1.7,Manual,5.0,5.0,Euro 6,Unknown,South Korea
MINI HATCH,9695,33465,2017,2.0,Diesel,Hatchback,1.5,Manual,3.0,4.0,Euro 6,Unknown,United Kingdom
BMW 3 SERIES,6295,137920,2014,2.0,Diesel,Estate,2.0,Manual,5.0,5.0,Euro 6,Unknown,Germany
TOYOTA IQ,3495,85489,2009,2.8075571177504393,Petrol,Hatchback,1.3,Manual,3.0,4.0,Euro 4,Unknown,Japan
JAGUAR S-TYPE,2667,88523,2003,2.8075571177504393,Petrol,Saloon,3.0,Automatic,4.0,5.0,Euro 3,Unknown,United Kingdom
FIAT 500,4995,52505,2013,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 4,Unknown,Italy
NISSAN MICRA,8700,30666,2018,3.0,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 6,Unknown,Japan
VOLKSWAGEN PASSAT,11480,44006,2015,3.0,Diesel,Saloon,2.0,Automatic,4.0,5.0,Euro 6,Unknown,Germany
LAND ROVER FREELANDER 2,4495,148000,2011,4.0,Diesel,SUV,2.2,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
VAUXHALL GRANDLAND X,11440,67748,2018,2.8075571177504393,Petrol,SUV,1.2,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
VOLKSWAGEN POLO,1895,87100,2005,5.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,Germany
VAUXHALL ASTRA,3195,28408,2005,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United Kingdom
AUDI A4,7990,80000,2012,2.8075571177504393,Petrol,Saloon,1.8,Manual,4.0,5.0,Euro 5,Unknown,Germany
FORD FIESTA,10995,59800,2017,3.0,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6,Unknown,United States
FORD FOCUS CC,2495,68272,2007,2.8075571177504393,Petrol,Convertible,2.0,Manual,2.0,4.0,Euro 4,Unknown,United States
SMART FORFOUR,5595,51000,2016,4.0,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 6,Unknown,Germany
TOYOTA AVENSIS,7989,98235,2018,2.0,Diesel,Saloon,1.6,Manual,4.0,5.0,Euro 6,Unknown,Japan
VOLKSWAGEN GOLF,8650,100000,2015,2.0,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 5,Unknown,Germany
AUDI A6 SALOON,5995,94000,2011,4.0,Diesel,Saloon,2.0,Manual,4.0,5.0,Euro 5,Unknown,Germany
VAUXHALL CORSA,2995,79011,2007,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
HONDA CIVIC,4550,76680,2010,1.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,full,Japan
JEEP GRAND CHEROKEE,2995,125000,2008,4.0,Diesel,SUV,3.0,Automatic,5.0,5.0,Euro 4,Unknown,United States
VOLKSWAGEN POLO,1895,87100,2005,5.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,Germany
VAUXHALL CORSA,2995,47988,2009,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
TOYOTA YARIS,2995,81224,2006,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 4,Unknown,Japan
NISSAN MICRA,2495,81025,2009,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,Japan
ALFA ROMEO GIULIETTA,3995,90851,2011,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,Italy
AUDI A6,16995,66229,2017,1.0,Diesel,Saloon,2.0,Automatic,4.0,5.0,Euro 6,Unknown,Germany
HYUNDAI I30,10750,39406,2017,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 6,Unknown,South Korea
SEAT IBIZA,5249,65946,2013,2.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,full,Spain
VAUXHALL CORSA,5100,49954,2013,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 5,Unknown,United Kingdom
BMW 5 SERIES,4999,140000,2012,3.0,Diesel,Estate,2.0,Manual,5.0,5.0,Euro 5,Unknown,Germany
MERCEDES-BENZ A CLASS,7777,82000,2015,2.8075571177504393,Diesel,Hatchback,1.5,Manual,5.0,5.0,Euro 5,Unknown,Germany
VAUXHALL CORSA,8500,27500,2016,2.0,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6,Unknown,United Kingdom
MITSUBISHI LANCER,4500,76988,2011,2.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 4,full,Japan
RENAULT CLIO,1990,120863,2012,2.8075571177504393,Petrol,Hatchback,1.1,Manual,3.0,5.0,Euro 5,Unknown,France
TOYOTA YARIS,2995,81224,2006,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 4,Unknown,Japan
FIAT 500C,3995,87986,2010,2.8075571177504393,Petrol,Convertible,1.2,Manual,2.0,4.0,Euro 5,Unknown,Italy
