title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Service history,country
HONDA CIVIC,1000,160000,2008,5.0,Diesel,Hatchback,2.2,Manual,3.0,5.0,Euro 4,Unknown,Japan
CITROEN C1,1490,65500,2008,3.0,Petrol,Hatchback,1.0,Manual,3.0,4.0,Euro 4,Unknown,France
VAUXHALL CORSA,1950,93000,2012,4.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,United Kingdom
TOYOTA AURIS,1695,115000,2007,6.0,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4,Unknown,Japan
HYUNDAI I30,1750,130000,2010,4.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,South Korea
VOLKSWAGEN POLO,2495,149000,2010,1.0,Diesel,Hatchback,1.2,Manual,5.0,5.0,Euro 5,Unknown,Germany
HONDA CIVIC,1389,68000,2002,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 3,Unknown,Japan
FORD FOCUS,4490,84000,2013,2.8075571177504393,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 5,Unknown,United States
HONDA CIVIC,990,113000,2004,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 3,Unknown,Japan
VOLVO S40,2849,101000,2009,4.0,Petrol,Saloon,1.6,Manual,4.0,5.0,Euro 4,full,Sweden
SEAT IBIZA,2799,99061,2011,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,Spain
PEUGEOT 308,9149,55301,2016,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
MERCEDES-BENZ A CLASS,15900,62402,2019,1.0,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6,Unknown,Germany
FORD MONDEO,1990,84815,2003,5.0,Petrol,Hatchback,3.0,Manual,5.0,5.0,Euro 4,Unknown,United States
VOLKSWAGEN POLO,3495,127000,2015,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6,Unknown,Germany
VAUXHALL MERIVA,1600,78521,2011,2.0,Diesel,MPV,1.3,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
MERCEDES-BENZ B CLASS,2650,85000,2008,2.8075571177504393,Petrol,MPV,1.5,Manual,5.0,5.0,Euro 4,Unknown,Germany
MAZDA MAZDA3,2990,66000,2009,2.8075571177504393,Petrol,Saloon,1.6,Manual,4.0,5.0,Euro 4,full,Japan
BMW 3 SERIES,2495,171090,2010,3.0,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 5,Unknown,Germany
NISSAN 350 Z,4300,100479,2004,3.0,Petrol,Coupe,3.5,Manual,2.0,2.0,Euro 3,full,Japan
MINI HATCH,2499,68000,2008,4.0,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 4,full,United Kingdom
ALFA ROMEO MITO,1500,120000,2011,2.0,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 5,Unknown,Italy
BMW 3 SERIES,2495,113000,2009,6.0,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 4,Unknown,Germany
SEAT IBIZA,2799,99061,2011,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,Spain
MERCEDES-BENZ A CLASS,15900,62402,2019,1.0,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6,Unknown,Germany
VAUXHALL CORSA,10698,22782,2020,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
FORD FOCUS,2950,105000,2011,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,United States
VAUXHALL ASTRA,3300,71000,2012,4.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
PEUGEOT 207,1490,75000,2007,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4,Unknown,France
VOLKSWAGEN PASSAT,2495,104000,2006,2.8075571177504393,Petrol,Saloon,3.2,Automatic,4.0,5.0,Euro 4,Unknown,Germany
BMW 3 SERIES,1995,75350,2005,3.0,Petrol,Saloon,1.8,Automatic,4.0,5.0,Euro 3,Unknown,Germany
HONDA ACCORD,3490,22641,2006,2.0,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 4,Unknown,Japan
BMW 3 SERIES,2490,104392,2010,4.0,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 5,Unknown,Germany
HONDA CIVIC,2995,104068,2010,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,Japan
VAUXHALL INSIGNIA,2950,79000,2011,4.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
VAUXHALL CORSA,1950,93000,2012,4.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,United Kingdom
VAUXHALL CORSA,10698,22782,2020,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
FORD FOCUS,988,111479,2005,2.0,Petrol,Hatchback,1.6,Manual,3.0,5.0,Euro 3,Unknown,United States
BMW 3 SERIES,1389,80000,2000,2.8075571177504393,Petrol,Saloon,1.9,Manual,4.0,5.0,Euro 3,Unknown,Germany
MINI HATCH,1395,99911,2003,4.0,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 3,Unknown,United Kingdom
MINI HATCH,2490,46000,2007,3.0,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 4,Unknown,United Kingdom
VAUXHALL ASTRA,2895,120000,2014,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5,full,United Kingdom
VAUXHALL ANTARA,3289,79000,2012,2.8075571177504393,Diesel,SUV,2.2,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
VAUXHALL INSIGNIA,3799,114000,2014,3.0,Petrol,Hatchback,1.8,Manual,5.0,5.0,Euro 5,full,United Kingdom
PEUGEOT 207,2945,66000,2008,3.0,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 4,Unknown,France
NISSAN NOTE,2499,65000,2009,3.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,Japan
FORD FOCUS,798,140599,2008,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United States
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
MINI HATCH,10000,46923,2017,3.0,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6,Unknown,United Kingdom
SEAT IBIZA,2799,99061,2011,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,Spain
MERCEDES-BENZ A CLASS,995,184000,2009,2.8075571177504393,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 4,Unknown,Germany
BMW 5 SERIES,2950,139000,2004,2.8075571177504393,Petrol,Saloon,3.0,Automatic,4.0,5.0,Euro 3,Unknown,Germany
HONDA CR-V,1389,120000,1999,2.8075571177504393,Petrol,SUV,2.0,Automatic,5.0,5.0,Euro 3,Unknown,Japan
PROTON SAVVY,990,85000,2007,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,4.0,Euro 4,Unknown,Malaysia
VAUXHALL CORSA,1850,93000,2009,4.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,United Kingdom
PEUGEOT 207,1990,51116,2008,3.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,France
MINI HATCH,2695,69000,2005,2.8075571177504393,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 3,Unknown,United Kingdom
NISSAN MICRA,1895,111998,2007,2.0,Petrol,Hatchback,1.2,Automatic,3.0,5.0,Euro 4,Unknown,Japan
VAUXHALL ASTRA,1995,93101,2008,6.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,United Kingdom
FORD FOCUS,2950,105000,2011,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,United States
MINI HATCH,10000,46923,2017,3.0,Petrol,Hatchback,1.5,Manual,3.0,4.0,Euro 6,Unknown,United Kingdom
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
FIAT PANDA,1395,45000,2010,2.8075571177504393,Petrol,Hatchback,1.1,Manual,5.0,4.0,Euro 4,Unknown,Italy
BMW 3 SERIES,2495,74325,2007,2.8075571177504393,Petrol,Saloon,2.0,Manual,4.0,5.0,Euro 4,Unknown,Germany
VAUXHALL CORSA,1498,102329,2007,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
MAZDA MAZDA2,2495,97000,2008,2.0,Petrol,Hatchback,1.5,Manual,5.0,5.0,Euro 4,full,Japan
VAUXHALL INSIGNIA,1949,113000,2011,2.8075571177504393,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
VAUXHALL CORSA,2700,84000,2014,3.0,Diesel,Hatchback,1.3,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
RENAULT MEGANE,1990,43000,2007,2.8075571177504393,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4,Unknown,France
RENAULT CLIO,1400,92000,2006,1.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,France
HYUNDAI I20,1500,100600,2010,4.0,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 4,Unknown,South Korea
FORD FOCUS,2995,100000,2012,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,United States
PEUGEOT 207,999,111400,2007,2.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,France
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
MERCEDES-BENZ A CLASS,15900,62402,2019,1.0,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6,Unknown,Germany
CITROEN C3,1300,120000,2010,1.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,France
